time_str,time_seconds,wban_id,name,state,county,knots,gust_knots,lat,lon
2002-08-01 07:33:00 UTC,1028187180,24032,VALENTINE MILLER FIELD,NE,CHERRY,31,40,42.8783,-100.55
2002-08-01 07:50:00 UTC,1028188200,24032,VALENTINE MILLER FIELD,NE,CHERRY,31,42,42.8783,-100.55
2002-08-01 07:54:00 UTC,1028188440,24032,VALENTINE MILLER FIELD,NE,CHERRY,29,42,42.8783,-100.55
2002-08-01 08:17:00 UTC,1028189820,14936,HURON REGIONAL AP,SD,BEADLE,29,42,44.3981,-98.2231
2002-08-01 08:40:00 UTC,1028191200,14936,HURON REGIONAL AP,SD,BEADLE,29,41,44.3981,-98.2231
2002-08-01 08:48:00 UTC,1028191680,14936,HURON REGIONAL AP,SD,BEADLE,30,43,44.3981,-98.2231
2002-08-01 13:47:00 UTC,1028209620,93037,COLORADO SPRINGS MUNICIPAL AP,CO,EL PASO,32,44,38.8119,-104.7111
2002-08-01 13:48:00 UTC,1028209680,93037,COLORADO SPRINGS MUNICIPAL AP,CO,EL PASO,33,40,38.8119,-104.7111
2002-08-01 13:49:00 UTC,1028209740,93037,COLORADO SPRINGS MUNICIPAL AP,CO,EL PASO,33,41,38.8119,-104.7111
2002-08-01 13:54:00 UTC,1028210040,93037,COLORADO SPRINGS MUNICIPAL AP,CO,EL PASO,32,41,38.8119,-104.7111
2002-08-02 02:47:00 UTC,1028256420,14840,MUSKEGON COUNTY AP,MI,MUSKEGON,30,44,43.1711,-86.2367
2002-08-02 02:48:00 UTC,1028256480,14840,MUSKEGON COUNTY AP,MI,MUSKEGON,37,47,43.1711,-86.2367
2002-08-02 02:49:00 UTC,1028256540,14840,MUSKEGON COUNTY AP,MI,MUSKEGON,36,42,43.1711,-86.2367
2002-08-02 03:16:00 UTC,1028258160,94860,GRAND RAPIDS GERALD R FORD INTL AP,MI,KENT,33,46,42.8825,-85.5239
2002-08-02 03:17:00 UTC,1028258220,94860,GRAND RAPIDS GERALD R FORD INTL AP,MI,KENT,36,45,42.8825,-85.5239
2002-08-02 03:37:00 UTC,1028259420,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,33,40,35.0356,-106.6219
2002-08-02 04:01:00 UTC,1028260860,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,36,42,35.0356,-106.6219
2002-08-02 04:06:00 UTC,1028261160,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,32,41,35.0356,-106.6219
2002-08-02 04:09:00 UTC,1028261340,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,36,43,35.0356,-106.6219
2002-08-02 04:13:00 UTC,1028261580,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,35,40,35.0356,-106.6219
2002-08-02 04:14:00 UTC,1028261640,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,35,40,35.0356,-106.6219
2002-08-02 04:16:00 UTC,1028261760,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,33,40,35.0356,-106.6219
2002-08-02 04:20:00 UTC,1028262000,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,34,40,35.0356,-106.6219
2002-08-02 04:23:00 UTC,1028262180,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,33,40,35.0356,-106.6219
2002-08-02 04:27:00 UTC,1028262420,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,35,41,35.0356,-106.6219
2002-08-02 04:40:00 UTC,1028263200,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,34,42,35.0356,-106.6219
2002-08-02 04:41:00 UTC,1028263260,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,35,40,35.0356,-106.6219
2002-08-02 04:47:00 UTC,1028263620,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,36,41,35.0356,-106.6219
2002-08-02 04:49:00 UTC,1028263740,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,33,40,35.0356,-106.6219
2002-08-02 04:51:00 UTC,1028263860,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,36,41,35.0356,-106.6219
2002-08-02 04:57:00 UTC,1028264220,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,35,40,35.0356,-106.6219
2002-08-02 05:04:00 UTC,1028264640,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,34,44,35.0356,-106.6219
2002-08-02 05:07:00 UTC,1028264820,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,33,40,35.0356,-106.6219
2002-08-02 05:09:00 UTC,1028264940,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,33,41,35.0356,-106.6219
2002-08-02 05:10:00 UTC,1028265000,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,36,41,35.0356,-106.6219
2002-08-02 05:23:00 UTC,1028265780,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,33,40,35.0356,-106.6219
2002-08-02 05:24:00 UTC,1028265840,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,36,43,35.0356,-106.6219
2002-08-02 05:32:00 UTC,1028266320,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,34,40,35.0356,-106.6219
2002-08-02 05:37:00 UTC,1028266620,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,35,41,35.0356,-106.6219
2002-08-02 05:46:00 UTC,1028267160,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,35,43,35.0356,-106.6219
2002-08-02 05:55:00 UTC,1028267700,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,37,43,35.0356,-106.6219
2002-08-02 05:56:00 UTC,1028267760,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,37,43,35.0356,-106.6219
2002-08-02 05:57:00 UTC,1028267820,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,38,45,35.0356,-106.6219
2002-08-02 05:58:00 UTC,1028267880,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,38,41,35.0356,-106.6219
2002-08-02 06:00:00 UTC,1028268000,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,34,40,35.0356,-106.6219
2002-08-02 06:03:00 UTC,1028268180,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,36,41,35.0356,-106.6219
2002-08-02 06:05:00 UTC,1028268300,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,37,42,35.0356,-106.6219
2002-08-02 06:06:00 UTC,1028268360,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,36,41,35.0356,-106.6219
2002-08-02 06:07:00 UTC,1028268420,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,36,40,35.0356,-106.6219
2002-08-02 06:09:00 UTC,1028268540,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,34,42,35.0356,-106.6219
2002-08-02 06:12:00 UTC,1028268720,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,33,40,35.0356,-106.6219
2002-08-02 06:13:00 UTC,1028268780,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,35,43,35.0356,-106.6219
2002-08-02 06:14:00 UTC,1028268840,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,37,41,35.0356,-106.6219
2002-08-02 06:18:00 UTC,1028269080,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,34,42,35.0356,-106.6219
2002-08-02 06:19:00 UTC,1028269140,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,35,41,35.0356,-106.6219
2002-08-02 06:28:00 UTC,1028269680,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,34,43,35.0356,-106.6219
2002-08-02 06:29:00 UTC,1028269740,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,36,40,35.0356,-106.6219
2002-08-02 06:34:00 UTC,1028270040,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,35,46,35.0356,-106.6219
2002-08-02 06:35:00 UTC,1028270100,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,41,45,35.0356,-106.6219
2002-08-02 06:38:00 UTC,1028270280,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,33,43,35.0356,-106.6219
2002-08-02 06:39:00 UTC,1028270340,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,35,40,35.0356,-106.6219
2002-08-02 06:40:00 UTC,1028270400,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,35,41,35.0356,-106.6219
2002-08-02 06:41:00 UTC,1028270460,23050,ALBUQUERQUE INTL AP,NM,BERNALILLO,36,42,35.0356,-106.6219
