convective_date,convective_day_index,wban_id,lat,lon,good_row_count
2014-09-30,16343,63870,31.0425,-86.3117,360
2014-10-01,16344,63870,31.0425,-86.3117,853
2014-10-02,16345,63870,31.0425,-86.3117,715
2014-10-05,16348,63870,31.0425,-86.3117,1094
2014-10-06,16349,63870,31.0425,-86.3117,838
2014-10-07,16350,63870,31.0425,-86.3117,1439
2014-10-08,16351,63870,31.0425,-86.3117,1433
2014-10-09,16352,63870,31.0425,-86.3117,1440
2014-10-10,16353,63870,31.0425,-86.3117,1440
2014-10-11,16354,63870,31.0425,-86.3117,1432
2014-10-12,16355,63870,31.0425,-86.3117,1439
2014-10-13,16356,63870,31.0425,-86.3117,1440
2014-10-14,16357,63870,31.0425,-86.3117,1436
2014-10-15,16358,63870,31.0425,-86.3117,1439
2014-10-16,16359,63870,31.0425,-86.3117,1064
2014-10-17,16360,63870,31.0425,-86.3117,548
2014-10-18,16361,63870,31.0425,-86.3117,1440
2014-10-19,16362,63870,31.0425,-86.3117,1439
2014-10-20,16363,63870,31.0425,-86.3117,1440
2014-10-21,16364,63870,31.0425,-86.3117,1440
2014-10-22,16365,63870,31.0425,-86.3117,345
2014-10-23,16366,63870,31.0425,-86.3117,1271
2014-10-24,16367,63870,31.0425,-86.3117,1440
2014-10-25,16368,63870,31.0425,-86.3117,1440
2014-10-26,16369,63870,31.0425,-86.3117,838
2014-10-27,16370,63870,31.0425,-86.3117,1440
2014-10-28,16371,63870,31.0425,-86.3117,295
2014-10-29,16372,63870,31.0425,-86.3117,1330
2014-10-30,16373,63870,31.0425,-86.3117,657
2014-10-31,16374,63870,31.0425,-86.3117,107
2014-09-30,16343,54779,41.0093,-74.7363,420
2014-10-01,16344,54779,41.0093,-74.7363,1427
2014-10-02,16345,54779,41.0093,-74.7363,1412
2014-10-03,16346,54779,41.0093,-74.7363,1376
2014-10-04,16347,54779,41.0093,-74.7363,1396
2014-10-05,16348,54779,41.0093,-74.7363,1269
2014-10-07,16350,54779,41.0093,-74.7363,1196
2014-10-08,16351,54779,41.0093,-74.7363,1399
2014-10-09,16352,54779,41.0093,-74.7363,1436
2014-10-10,16353,54779,41.0093,-74.7363,1440
2014-10-11,16354,54779,41.0093,-74.7363,1436
2014-10-12,16355,54779,41.0093,-74.7363,1435
2014-10-13,16356,54779,41.0093,-74.7363,1440
2014-10-14,16357,54779,41.0093,-74.7363,1353
2014-10-15,16358,54779,41.0093,-74.7363,1357
2014-10-16,16359,54779,41.0093,-74.7363,1431
2014-10-17,16360,54779,41.0093,-74.7363,830
2014-10-18,16361,54779,41.0093,-74.7363,1391
2014-10-19,16362,54779,41.0093,-74.7363,1434
2014-10-20,16363,54779,41.0093,-74.7363,1427
2014-10-21,16364,54779,41.0093,-74.7363,1432
2014-10-22,16365,54779,41.0093,-74.7363,980
2014-10-23,16366,54779,41.0093,-74.7363,1258
2014-10-24,16367,54779,41.0093,-74.7363,1421
2014-10-25,16368,54779,41.0093,-74.7363,1412
2014-10-26,16369,54779,41.0093,-74.7363,1322
2014-10-27,16370,54779,41.0093,-74.7363,1414
2014-10-28,16371,54779,41.0093,-74.7363,1440
2014-10-29,16372,54779,41.0093,-74.7363,1427
2014-10-30,16373,54779,41.0093,-74.7363,1317
2014-10-31,16374,54779,41.0093,-74.7363,1011
2014-10-25,16368,63871,30.8458,-85.6014,27
2014-09-30,16343,94037,45.6043,-103.547,300
2014-10-01,16344,94037,45.6043,-103.547,1438
2014-10-02,16345,94037,45.6043,-103.547,1440
2014-10-03,16346,94037,45.6043,-103.547,1440
2014-10-04,16347,94037,45.6043,-103.547,1178
2014-10-05,16348,94037,45.6043,-103.547,1104
2014-10-06,16349,94037,45.6043,-103.547,1440
2014-10-07,16350,94037,45.6043,-103.547,843
2014-10-08,16351,94037,45.6043,-103.547,1440
2014-10-09,16352,94037,45.6043,-103.547,1440
2014-10-10,16353,94037,45.6043,-103.547,1118
2014-10-11,16354,94037,45.6043,-103.547,1162
2014-10-12,16355,94037,45.6043,-103.547,1440
2014-10-13,16356,94037,45.6043,-103.547,843
2014-10-14,16357,94037,45.6043,-103.547,1440
2014-10-15,16358,94037,45.6043,-103.547,1181
2014-10-16,16359,94037,45.6043,-103.547,441
2014-10-17,16360,94037,45.6043,-103.547,839
2014-10-18,16361,94037,45.6043,-103.547,1440
2014-10-19,16362,94037,45.6043,-103.547,1440
2014-10-20,16363,94037,45.6043,-103.547,1440
2014-10-21,16364,94037,45.6043,-103.547,1120
2014-10-22,16365,94037,45.6043,-103.547,720
2014-10-23,16366,94037,45.6043,-103.547,718
2014-10-24,16367,94037,45.6043,-103.547,798
2014-10-25,16368,94037,45.6043,-103.547,843
2014-10-26,16369,94037,45.6043,-103.547,1440
2014-10-27,16370,94037,45.6043,-103.547,1440
