convective_date,convective_day_index,wban_id,lat,lon,good_row_count
2019-07-31,18108,63870,31.0425,-86.3117,166
2019-08-01,18109,63870,31.0425,-86.3117,374
2019-08-02,18110,63870,31.0425,-86.3117,1427
2019-08-03,18111,63870,31.0425,-86.3117,1436
2019-08-04,18112,63870,31.0425,-86.3117,1005
2019-08-05,18113,63870,31.0425,-86.3117,1414
2019-08-06,18114,63870,31.0425,-86.3117,1008
2019-08-07,18115,63870,31.0425,-86.3117,805
2019-08-08,18116,63870,31.0425,-86.3117,1238
2019-08-09,18117,63870,31.0425,-86.3117,716
2019-08-10,18118,63870,31.0425,-86.3117,1133
2019-08-11,18119,63870,31.0425,-86.3117,218
2019-08-12,18120,63870,31.0425,-86.3117,1387
2019-08-13,18121,63870,31.0425,-86.3117,1432
2019-08-14,18122,63870,31.0425,-86.3117,1179
2019-08-16,18124,63870,31.0425,-86.3117,1269
2019-08-17,18125,63870,31.0425,-86.3117,749
2019-08-18,18126,63870,31.0425,-86.3117,852
2019-08-19,18127,63870,31.0425,-86.3117,1177
2019-08-21,18129,63870,31.0425,-86.3117,1391
2019-08-22,18130,63870,31.0425,-86.3117,1431
2019-08-23,18131,63870,31.0425,-86.3117,819
2019-08-24,18132,63870,31.0425,-86.3117,1048
2019-08-25,18133,63870,31.0425,-86.3117,715
2019-08-26,18134,63870,31.0425,-86.3117,678
2019-08-27,18135,63870,31.0425,-86.3117,1353
2019-08-30,18138,63870,31.0425,-86.3117,681
2019-08-31,18139,63870,31.0425,-86.3117,690
2019-07-31,18108,54779,41.0093,-74.7363,420
2019-08-01,18109,54779,41.0093,-74.7363,1440
2019-08-02,18110,54779,41.0093,-74.7363,1440
2019-08-03,18111,54779,41.0093,-74.7363,1422
2019-08-04,18112,54779,41.0093,-74.7363,1430
2019-08-05,18113,54779,41.0093,-74.7363,1440
2019-08-06,18114,54779,41.0093,-74.7363,1440
2019-08-07,18115,54779,41.0093,-74.7363,1422
2019-08-08,18116,54779,41.0093,-74.7363,1422
2019-08-09,18117,54779,41.0093,-74.7363,1426
2019-08-10,18118,54779,41.0093,-74.7363,1432
2019-08-11,18119,54779,41.0093,-74.7363,1436
2019-08-12,18120,54779,41.0093,-74.7363,1432
2019-08-13,18121,54779,41.0093,-74.7363,1440
2019-08-14,18122,54779,41.0093,-74.7363,1431
2019-08-15,18123,54779,41.0093,-74.7363,1424
2019-08-16,18124,54779,41.0093,-74.7363,1435
2019-08-17,18125,54779,41.0093,-74.7363,1424
2019-08-18,18126,54779,41.0093,-74.7363,1440
2019-08-19,18127,54779,41.0093,-74.7363,1167
2019-08-20,18128,54779,41.0093,-74.7363,626
2019-08-21,18129,54779,41.0093,-74.7363,1435
2019-08-22,18130,54779,41.0093,-74.7363,1431
2019-08-23,18131,54779,41.0093,-74.7363,1440
2019-08-24,18132,54779,41.0093,-74.7363,1428
2019-08-25,18133,54779,41.0093,-74.7363,1424
2019-08-26,18134,54779,41.0093,-74.7363,1423
2019-08-27,18135,54779,41.0093,-74.7363,1436
2019-08-28,18136,54779,41.0093,-74.7363,1440
2019-08-29,18137,54779,41.0093,-74.7363,1402
2019-08-30,18138,54779,41.0093,-74.7363,1440
2019-08-31,18139,54779,41.0093,-74.7363,1007
2019-07-31,18108,63871,30.8458,-85.6014,420
