time_str,time_seconds,wban_id,name,state,county,knots,gust_knots,lat,lon
2003-12-01 14:27:00 UTC,1070288820,14753,BLUE HILL LCD,MA,NORFOLK,27,42,42.2123,-71.1137
2003-12-01 14:30:00 UTC,1070289000,14753,BLUE HILL LCD,MA,NORFOLK,30,40,42.2123,-71.1137
2003-12-01 15:04:00 UTC,1070291040,14735,ALBANY AP,NY,ALBANY,29,41,42.7472,-73.7991
2003-12-01 17:10:00 UTC,1070298600,94746,WORCESTER REGIONAL AP,MA,WORCESTER,30,41,42.2672,-71.8761
2003-12-01 17:11:00 UTC,1070298660,94746,WORCESTER REGIONAL AP,MA,WORCESTER,34,42,42.2672,-71.8761
2003-12-01 17:21:00 UTC,1070299260,13739,PHILADELPHIA INTL AP,PA,DELAWARE,28,40,39.8733,-75.2268
2003-12-01 18:37:00 UTC,1070303820,94823,PITTSBURGH INTL AP,PA,ALLEGHENY,33,40,40.5014,-80.2311
2003-12-01 18:53:00 UTC,1070304780,94823,PITTSBURGH INTL AP,PA,ALLEGHENY,32,40,40.5014,-80.2311
2003-12-01 19:04:00 UTC,1070305440,94702,IGOR I SIKORSKY MEMORIAL AIRPORT,CT,FAIRFIELD,28,40,41.1642,-73.1267
2003-12-01 19:04:00 UTC,1070305440,94789,NEW YORK J F KENNEDY INTL AP,NY,QUEENS,33,40,40.6392,-73.764
2003-12-01 19:10:00 UTC,1070305800,14711,MIDDLETOWN HARRISBURG INTL AP,PA,DAUPHIN,30,43,40.1962,-76.7724
2003-12-01 19:35:00 UTC,1070307300,14711,MIDDLETOWN HARRISBURG INTL AP,PA,DAUPHIN,28,40,40.1962,-76.7724
2003-12-01 19:35:00 UTC,1070307300,14753,BLUE HILL LCD,MA,NORFOLK,26,40,42.2123,-71.1137
2003-12-01 19:36:00 UTC,1070307360,14711,MIDDLETOWN HARRISBURG INTL AP,PA,DAUPHIN,34,43,40.1962,-76.7724
2003-12-01 19:40:00 UTC,1070307600,14753,BLUE HILL LCD,MA,NORFOLK,32,48,42.2123,-71.1137
2003-12-01 19:43:00 UTC,1070307780,14753,BLUE HILL LCD,MA,NORFOLK,28,41,42.2123,-71.1137
2003-12-01 19:44:00 UTC,1070307840,14753,BLUE HILL LCD,MA,NORFOLK,33,45,42.2123,-71.1137
2003-12-01 20:14:00 UTC,1070309640,14745,CONCORD MUNICIPAL AP,NH,MERRIMACK,29,41,43.2049,-71.5027
2003-12-02 02:17:00 UTC,1070331420,14852,YOUNGSTOWN REGIONAL AP,OH,TRUMBULL,28,40,41.2544,-80.6739
2003-12-02 11:49:00 UTC,1070365740,25308,ANNETTE ISLAND AP,AK,PRINCE OF WALES-OUTER KETCHIKAN,31,43,55.0433,-131.57
2003-12-02 11:50:00 UTC,1070365800,25308,ANNETTE ISLAND AP,AK,PRINCE OF WALES-OUTER KETCHIKAN,32,43,55.0433,-131.57
2003-12-02 11:53:00 UTC,1070365980,25308,ANNETTE ISLAND AP,AK,PRINCE OF WALES-OUTER KETCHIKAN,25,41,55.0433,-131.57
2003-12-02 12:06:00 UTC,1070366760,25308,ANNETTE ISLAND AP,AK,PRINCE OF WALES-OUTER KETCHIKAN,28,44,55.0433,-131.57
2003-12-02 12:14:00 UTC,1070367240,25339,YAKUTAT STATE AP,AK,YAKUTAT BOROUGH,31,45,59.5103,-139.6628
2003-12-02 12:16:00 UTC,1070367360,25339,YAKUTAT STATE AP,AK,YAKUTAT BOROUGH,33,45,59.5103,-139.6628
2003-12-02 12:30:00 UTC,1070368200,25309,JUNEAU INTL AP,AK,JUNEAU BOROUGH,23,40,58.355,-134.575
2003-12-02 12:30:00 UTC,1070368200,25339,YAKUTAT STATE AP,AK,YAKUTAT BOROUGH,25,43,59.5103,-139.6628
2003-12-02 12:35:00 UTC,1070368500,25339,YAKUTAT STATE AP,AK,YAKUTAT BOROUGH,30,40,59.5103,-139.6628
2003-12-02 12:36:00 UTC,1070368560,25339,YAKUTAT STATE AP,AK,YAKUTAT BOROUGH,31,41,59.5103,-139.6628
2003-12-02 12:41:00 UTC,1070368860,25339,YAKUTAT STATE AP,AK,YAKUTAT BOROUGH,27,40,59.5103,-139.6628
2003-12-02 12:45:00 UTC,1070369100,25309,JUNEAU INTL AP,AK,JUNEAU BOROUGH,27,40,58.355,-134.575
2003-12-02 13:30:00 UTC,1070371800,25308,ANNETTE ISLAND AP,AK,PRINCE OF WALES-OUTER KETCHIKAN,28,41,55.0433,-131.57
2003-12-02 14:56:00 UTC,1070376960,25308,ANNETTE ISLAND AP,AK,PRINCE OF WALES-OUTER KETCHIKAN,27,41,55.0433,-131.57
2003-12-02 17:16:00 UTC,1070385360,23047,AMARILLO INTERNATIONAL AIRPORT,TX,POTTER,31,40,35.2295,-101.7042
2003-12-02 17:24:00 UTC,1070385840,23047,AMARILLO INTERNATIONAL AIRPORT,TX,POTTER,34,40,35.2295,-101.7042
2003-12-02 20:49:00 UTC,1070398140,14732,NEW YORK LAGUARDIA AP,NY,QUEENS,27,40,40.7794,-73.8804
2003-12-02 22:42:00 UTC,1070404920,23051,CLAYTON MUNICIPAL AIR PARK,NM,UNION,29,41,36.4486,-103.1539
2003-12-02 22:44:00 UTC,1070405040,23051,CLAYTON MUNICIPAL AIR PARK,NM,UNION,32,44,36.4486,-103.1539
2003-12-02 22:45:00 UTC,1070405100,23051,CLAYTON MUNICIPAL AIR PARK,NM,UNION,37,40,36.4486,-103.1539
2003-12-03 08:06:00 UTC,1070438760,25624,COLD BAY AP,AK,ALEUTIANS EAST BOROUGH,34,40,55.2208,-162.7278
2003-12-03 08:07:00 UTC,1070438820,25624,COLD BAY AP,AK,ALEUTIANS EAST BOROUGH,38,44,55.2208,-162.7278
2003-12-03 08:08:00 UTC,1070438880,25624,COLD BAY AP,AK,ALEUTIANS EAST BOROUGH,38,41,55.2208,-162.7278
2003-12-03 08:09:00 UTC,1070438940,25624,COLD BAY AP,AK,ALEUTIANS EAST BOROUGH,37,40,55.2208,-162.7278
2003-12-03 08:10:00 UTC,1070439000,25624,COLD BAY AP,AK,ALEUTIANS EAST BOROUGH,37,41,55.2208,-162.7278
2003-12-03 08:12:00 UTC,1070439120,25624,COLD BAY AP,AK,ALEUTIANS EAST BOROUGH,35,40,55.2208,-162.7278
