convective_date,convective_day_index,wban_id,lat,lon,good_row_count
2008-04-30,13999,63870,31.0425,-86.3117,360
2008-05-01,14000,63870,31.0425,-86.3117,1439
2008-05-02,14001,63870,31.0425,-86.3117,1440
2008-05-03,14002,63870,31.0425,-86.3117,1402
2008-05-04,14003,63870,31.0425,-86.3117,932
2008-05-05,14004,63870,31.0425,-86.3117,1440
2008-05-06,14005,63870,31.0425,-86.3117,1143
2008-05-07,14006,63870,31.0425,-86.3117,1440
2008-05-08,14007,63870,31.0425,-86.3117,1438
2008-05-09,14008,63870,31.0425,-86.3117,1440
2008-05-10,14009,63870,31.0425,-86.3117,1440
2008-05-11,14010,63870,31.0425,-86.3117,1416
2008-05-12,14011,63870,31.0425,-86.3117,1439
2008-05-13,14012,63870,31.0425,-86.3117,869
2008-05-14,14013,63870,31.0425,-86.3117,1418
2008-05-15,14014,63870,31.0425,-86.3117,1261
2008-05-16,14015,63870,31.0425,-86.3117,1435
2008-05-17,14016,63870,31.0425,-86.3117,1440
2008-05-18,14017,63870,31.0425,-86.3117,1439
2008-05-19,14018,63870,31.0425,-86.3117,1440
2008-05-20,14019,63870,31.0425,-86.3117,1440
2008-05-21,14020,63870,31.0425,-86.3117,1440
2008-05-22,14021,63870,31.0425,-86.3117,1440
2008-05-23,14022,63870,31.0425,-86.3117,1440
2008-05-24,14023,63870,31.0425,-86.3117,1440
2008-05-25,14024,63870,31.0425,-86.3117,1440
2008-05-26,14025,63870,31.0425,-86.3117,1440
2008-05-27,14026,63870,31.0425,-86.3117,1440
2008-05-28,14027,63870,31.0425,-86.3117,1440
2008-05-29,14028,63870,31.0425,-86.3117,1440
2008-05-30,14029,63870,31.0425,-86.3117,1261
2008-05-31,14030,63870,31.0425,-86.3117,1080
2008-04-30,13999,54779,41.0093,-74.7363,420
2008-05-01,14000,54779,41.0093,-74.7363,1440
2008-05-02,14001,54779,41.0093,-74.7363,1440
2008-05-03,14002,54779,41.0093,-74.7363,1440
2008-05-04,14003,54779,41.0093,-74.7363,1320
2008-05-05,14004,54779,41.0093,-74.7363,304
2008-05-06,14005,54779,41.0093,-74.7363,1230
2008-05-07,14006,54779,41.0093,-74.7363,1438
2008-05-08,14007,54779,41.0093,-74.7363,1440
2008-05-09,14008,54779,41.0093,-74.7363,1440
2008-05-10,14009,54779,41.0093,-74.7363,1318
2008-05-11,14010,54779,41.0093,-74.7363,1439
2008-05-12,14011,54779,41.0093,-74.7363,1326
2008-05-13,14012,54779,41.0093,-74.7363,1319
2008-05-14,14013,54779,41.0093,-74.7363,1438
2008-05-15,14014,54779,41.0093,-74.7363,1339
2008-05-16,14015,54779,41.0093,-74.7363,1440
2008-05-17,14016,54779,41.0093,-74.7363,1436
2008-05-18,14017,54779,41.0093,-74.7363,1268
2008-05-19,14018,54779,41.0093,-74.7363,1227
2008-05-20,14019,54779,41.0093,-74.7363,1385
2008-05-21,14020,54779,41.0093,-74.7363,1294
2008-05-22,14021,54779,41.0093,-74.7363,1440
2008-05-23,14022,54779,41.0093,-74.7363,1439
2008-05-24,14023,54779,41.0093,-74.7363,1329
2008-05-25,14024,54779,41.0093,-74.7363,1440
2008-05-26,14025,54779,41.0093,-74.7363,1322
2008-05-27,14026,54779,41.0093,-74.7363,1385
2008-05-28,14027,54779,41.0093,-74.7363,422
2008-05-29,14028,54779,41.0093,-74.7363,1325
2008-05-30,14029,54779,41.0093,-74.7363,1186
2008-05-31,14030,54779,41.0093,-74.7363,1017
2008-04-30,13999,94037,45.6043,-103.547,300
2008-05-01,14000,94037,45.6043,-103.547,315
2008-05-03,14002,94037,45.6043,-103.547,551
