time_str,time_seconds,wban_id,name,state,county,knots,gust_knots,lat,lon
2012-08-01 20:16:00 UTC,1343852160,24025,PIERRE REGIONAL AP,SD,HUGHES,33,40,44.3813,-100.2855
2012-08-01 20:23:00 UTC,1343852580,24025,PIERRE REGIONAL AP,SD,HUGHES,33,40,44.3813,-100.2855
2012-08-01 20:24:00 UTC,1343852640,24025,PIERRE REGIONAL AP,SD,HUGHES,34,42,44.3813,-100.2855
2012-08-01 20:25:00 UTC,1343852700,24025,PIERRE REGIONAL AP,SD,HUGHES,35,42,44.3813,-100.2855
2012-08-01 20:26:00 UTC,1343852760,24025,PIERRE REGIONAL AP,SD,HUGHES,36,43,44.3813,-100.2855
2012-08-01 20:27:00 UTC,1343852820,24025,PIERRE REGIONAL AP,SD,HUGHES,35,40,44.3813,-100.2855
2012-08-01 20:28:00 UTC,1343852880,24025,PIERRE REGIONAL AP,SD,HUGHES,34,42,44.3813,-100.2855
2012-08-01 20:31:00 UTC,1343853060,24025,PIERRE REGIONAL AP,SD,HUGHES,32,43,44.3813,-100.2855
2012-08-01 20:32:00 UTC,1343853120,24025,PIERRE REGIONAL AP,SD,HUGHES,33,40,44.3813,-100.2855
2012-08-01 20:33:00 UTC,1343853180,24025,PIERRE REGIONAL AP,SD,HUGHES,32,40,44.3813,-100.2855
2012-08-01 20:34:00 UTC,1343853240,24025,PIERRE REGIONAL AP,SD,HUGHES,33,43,44.3813,-100.2855
2012-08-01 20:35:00 UTC,1343853300,24025,PIERRE REGIONAL AP,SD,HUGHES,37,44,44.3813,-100.2855
2012-08-01 20:36:00 UTC,1343853360,24025,PIERRE REGIONAL AP,SD,HUGHES,38,45,44.3813,-100.2855
2012-08-01 20:37:00 UTC,1343853420,24025,PIERRE REGIONAL AP,SD,HUGHES,38,48,44.3813,-100.2855
2012-08-01 20:38:00 UTC,1343853480,24025,PIERRE REGIONAL AP,SD,HUGHES,36,43,44.3813,-100.2855
2012-08-01 20:39:00 UTC,1343853540,24025,PIERRE REGIONAL AP,SD,HUGHES,35,40,44.3813,-100.2855
2012-08-01 20:40:00 UTC,1343853600,24025,PIERRE REGIONAL AP,SD,HUGHES,36,43,44.3813,-100.2855
2012-08-01 20:41:00 UTC,1343853660,24025,PIERRE REGIONAL AP,SD,HUGHES,37,42,44.3813,-100.2855
2012-08-01 20:43:00 UTC,1343853780,24025,PIERRE REGIONAL AP,SD,HUGHES,33,40,44.3813,-100.2855
2012-08-01 20:44:00 UTC,1343853840,24025,PIERRE REGIONAL AP,SD,HUGHES,35,40,44.3813,-100.2855
2012-08-01 20:49:00 UTC,1343854140,24025,PIERRE REGIONAL AP,SD,HUGHES,33,40,44.3813,-100.2855
2012-08-01 20:50:00 UTC,1343854200,24025,PIERRE REGIONAL AP,SD,HUGHES,34,43,44.3813,-100.2855
