convective_date,convective_day_index,wban_id,lat,lon,good_row_count
2009-10-31,14548,63870,31.0425,-86.3117,318
2009-11-01,14549,63870,31.0425,-86.3117,1347
2009-11-02,14550,63870,31.0425,-86.3117,1439
2009-11-03,14551,63870,31.0425,-86.3117,1393
2009-11-04,14552,63870,31.0425,-86.3117,812
2009-11-05,14553,63870,31.0425,-86.3117,1397
2009-11-06,14554,63870,31.0425,-86.3117,918
2009-11-07,14555,63870,31.0425,-86.3117,334
2009-11-08,14556,63870,31.0425,-86.3117,1262
2009-11-09,14557,63870,31.0425,-86.3117,1253
2009-11-10,14558,63870,31.0425,-86.3117,1439
2009-11-11,14559,63870,31.0425,-86.3117,1440
2009-11-12,14560,63870,31.0425,-86.3117,1440
2009-11-13,14561,63870,31.0425,-86.3117,446
2009-11-14,14562,63870,31.0425,-86.3117,717
2009-11-17,14565,63870,31.0425,-86.3117,1083
2009-11-18,14566,63870,31.0425,-86.3117,1425
2009-11-19,14567,63870,31.0425,-86.3117,277
2009-11-20,14568,63870,31.0425,-86.3117,1313
2009-11-21,14569,63870,31.0425,-86.3117,618
2009-11-22,14570,63870,31.0425,-86.3117,1245
2009-11-23,14571,63870,31.0425,-86.3117,536
2009-11-24,14572,63870,31.0425,-86.3117,861
2009-11-25,14573,63870,31.0425,-86.3117,1369
2009-11-26,14574,63870,31.0425,-86.3117,1436
2009-11-27,14575,63870,31.0425,-86.3117,889
2009-11-28,14576,63870,31.0425,-86.3117,1436
2009-11-29,14577,63870,31.0425,-86.3117,858
2009-11-30,14578,63870,31.0425,-86.3117,927
2009-10-31,14548,54779,41.0093,-74.7363,420
2009-11-01,14549,54779,41.0093,-74.7363,1440
2009-11-02,14550,54779,41.0093,-74.7363,1440
2009-11-03,14551,54779,41.0093,-74.7363,843
2009-11-04,14552,54779,41.0093,-74.7363,1440
2009-11-05,14553,54779,41.0093,-74.7363,1435
2009-11-06,14554,54779,41.0093,-74.7363,1440
2009-11-07,14555,54779,41.0093,-74.7363,1438
2009-11-08,14556,54779,41.0093,-74.7363,1440
2009-11-09,14557,54779,41.0093,-74.7363,1439
2009-11-10,14558,54779,41.0093,-74.7363,1440
2009-11-11,14559,54779,41.0093,-74.7363,1078
2009-11-12,14560,54779,41.0093,-74.7363,897
2009-11-13,14561,54779,41.0093,-74.7363,85
2009-11-14,14562,54779,41.0093,-74.7363,534
2009-11-15,14563,54779,41.0093,-74.7363,178
2009-11-16,14564,54779,41.0093,-74.7363,731
2009-11-17,14565,54779,41.0093,-74.7363,1440
2009-11-18,14566,54779,41.0093,-74.7363,1187
2009-11-19,14567,54779,41.0093,-74.7363,1010
2009-11-20,14568,54779,41.0093,-74.7363,1437
2009-11-21,14569,54779,41.0093,-74.7363,1440
2009-11-22,14570,54779,41.0093,-74.7363,1277
2009-11-23,14571,54779,41.0093,-74.7363,1434
2009-11-24,14572,54779,41.0093,-74.7363,1440
2009-11-25,14573,54779,41.0093,-74.7363,1281
2009-11-26,14574,54779,41.0093,-74.7363,1440
2009-11-27,14575,54779,41.0093,-74.7363,1273
2009-11-28,14576,54779,41.0093,-74.7363,1436
2009-11-29,14577,54779,41.0093,-74.7363,1440
2009-11-30,14578,54779,41.0093,-74.7363,1020
2009-10-31,14548,94037,45.6043,-103.547,300
2009-11-01,14549,94037,45.6043,-103.547,1440
2009-11-02,14550,94037,45.6043,-103.547,1440
2009-11-03,14551,94037,45.6043,-103.547,1440
2009-11-04,14552,94037,45.6043,-103.547,1440
2009-11-05,14553,94037,45.6043,-103.547,1424
2009-11-06,14554,94037,45.6043,-103.547,1424
2009-11-07,14555,94037,45.6043,-103.547,1440
2009-11-08,14556,94037,45.6043,-103.547,1440
