convective_date,convective_day_index,wban_id,lat,lon,good_row_count
2001-10-31,11626,14737,40.6508,-75.4492,420
2001-11-01,11627,14737,40.6508,-75.4492,1440
2001-11-02,11628,14737,40.6508,-75.4492,843
2001-11-03,11629,14737,40.6508,-75.4492,747
2001-11-04,11630,14737,40.6508,-75.4492,656
2001-11-05,11631,14737,40.6508,-75.4492,1225
2001-11-06,11632,14737,40.6508,-75.4492,1413
2001-11-07,11633,14737,40.6508,-75.4492,1200
2001-11-08,11634,14737,40.6508,-75.4492,1438
2001-11-09,11635,14737,40.6508,-75.4492,1440
2001-11-10,11636,14737,40.6508,-75.4492,1228
2001-11-11,11637,14737,40.6508,-75.4492,1133
2001-11-12,11638,14737,40.6508,-75.4492,663
2001-11-13,11639,14737,40.6508,-75.4492,1440
2001-11-14,11640,14737,40.6508,-75.4492,1406
2001-11-15,11641,14737,40.6508,-75.4492,720
2001-11-18,11644,14737,40.6508,-75.4492,514
2001-11-19,11645,14737,40.6508,-75.4492,1440
2001-11-20,11646,14737,40.6508,-75.4492,1405
2001-11-21,11647,14737,40.6508,-75.4492,1383
2001-11-22,11648,14737,40.6508,-75.4492,1440
2001-11-23,11649,14737,40.6508,-75.4492,1329
2001-11-24,11650,14737,40.6508,-75.4492,1440
2001-11-25,11651,14737,40.6508,-75.4492,1291
2001-11-26,11652,14737,40.6508,-75.4492,1346
2001-11-27,11653,14737,40.6508,-75.4492,566
2001-11-28,11654,14737,40.6508,-75.4492,881
2001-11-29,11655,14737,40.6508,-75.4492,1440
2001-11-30,11656,14737,40.6508,-75.4492,792
2001-10-31,11626,13962,32.4106,-99.6822,360
2001-11-01,11627,13962,32.4106,-99.6822,987
2001-11-02,11628,13962,32.4106,-99.6822,633
2001-11-03,11629,13962,32.4106,-99.6822,747
2001-11-04,11630,13962,32.4106,-99.6822,813
2001-11-05,11631,13962,32.4106,-99.6822,1440
2001-11-06,11632,13962,32.4106,-99.6822,1201
2001-11-07,11633,13962,32.4106,-99.6822,1200
2001-11-08,11634,13962,32.4106,-99.6822,1263
2001-11-09,11635,13962,32.4106,-99.6822,1439
2001-11-10,11636,13962,32.4106,-99.6822,1227
2001-11-11,11637,13962,32.4106,-99.6822,1130
2001-11-12,11638,13962,32.4106,-99.6822,1440
2001-11-13,11639,13962,32.4106,-99.6822,1440
2001-11-14,11640,13962,32.4106,-99.6822,1440
2001-11-15,11641,13962,32.4106,-99.6822,625
2001-11-18,11644,13962,32.4106,-99.6822,514
2001-11-19,11645,13962,32.4106,-99.6822,1439
2001-11-20,11646,13962,32.4106,-99.6822,1216
2001-11-21,11647,13962,32.4106,-99.6822,1440
2001-11-22,11648,13962,32.4106,-99.6822,1440
2001-11-23,11649,13962,32.4106,-99.6822,1440
2001-11-24,11650,13962,32.4106,-99.6822,1440
2001-11-25,11651,13962,32.4106,-99.6822,1440
2001-11-26,11652,13962,32.4106,-99.6822,1440
2001-11-27,11653,13962,32.4106,-99.6822,566
2001-11-28,11654,13962,32.4106,-99.6822,994
2001-11-29,11655,13962,32.4106,-99.6822,1440
2001-11-30,11656,13962,32.4106,-99.6822,1080
2001-10-31,11626,23050,35.0356,-106.6219,279
