convective_date,convective_day_index,wban_id,lat,lon,good_row_count
2004-03-31,12508,14737,40.6498,-75.4477,213
2004-04-01,12509,14737,40.6498,-75.4477,1285
2004-04-02,12510,14737,40.6498,-75.4477,1294
2004-04-03,12511,14737,40.6498,-75.4477,1440
2004-04-04,12512,14737,40.6498,-75.4477,1324
2004-04-05,12513,14737,40.6498,-75.4477,1439
2004-04-06,12514,14737,40.6498,-75.4477,1440
2004-04-07,12515,14737,40.6498,-75.4477,1309
2004-04-08,12516,14737,40.6498,-75.4477,1440
2004-04-09,12517,14737,40.6498,-75.4477,1440
2004-04-10,12518,14737,40.6498,-75.4477,1348
2004-04-11,12519,14737,40.6498,-75.4477,1411
2004-04-12,12520,14737,40.6498,-75.4477,1439
2004-04-13,12521,14737,40.6498,-75.4477,1440
2004-04-14,12522,14737,40.6498,-75.4477,1440
2004-04-15,12523,14737,40.6498,-75.4477,808
2004-04-16,12524,14737,40.6498,-75.4477,1366
2004-04-17,12525,14737,40.6498,-75.4477,1284
2004-04-18,12526,14737,40.6498,-75.4477,1440
2004-04-19,12527,14737,40.6498,-75.4477,1307
2004-04-20,12528,14737,40.6498,-75.4477,1440
2004-04-21,12529,14737,40.6498,-75.4477,1439
2004-04-22,12530,14737,40.6498,-75.4477,1282
2004-04-23,12531,14737,40.6498,-75.4477,1196
2004-04-24,12532,14737,40.6498,-75.4477,1340
2004-04-25,12533,14737,40.6498,-75.4477,1438
2004-04-26,12534,14737,40.6498,-75.4477,1410
2004-04-27,12535,14737,40.6498,-75.4477,1169
2004-04-28,12536,14737,40.6498,-75.4477,1436
2004-04-29,12537,14737,40.6498,-75.4477,1328
2004-04-30,12538,14737,40.6498,-75.4477,1020
2004-03-31,12508,13962,32.4106,-99.6822,360
2004-04-01,12509,13962,32.4106,-99.6822,1440
2004-04-02,12510,13962,32.4106,-99.6822,1440
2004-04-03,12511,13962,32.4106,-99.6822,1440
2004-04-04,12512,13962,32.4106,-99.6822,1440
2004-04-05,12513,13962,32.4106,-99.6822,1440
2004-04-06,12514,13962,32.4106,-99.6822,1440
2004-04-07,12515,13962,32.4106,-99.6822,1440
2004-04-08,12516,13962,32.4106,-99.6822,1324
2004-04-09,12517,13962,32.4106,-99.6822,1440
2004-04-10,12518,13962,32.4106,-99.6822,1440
