convective_date,convective_day_index,wban_id,lat,lon,good_row_count
2006-10-31,13452,63870,31.0425,-86.3117,47
2006-11-01,13453,63870,31.0425,-86.3117,1288
2006-11-02,13454,63870,31.0425,-86.3117,1439
2006-11-03,13455,63870,31.0425,-86.3117,1175
2006-11-04,13456,63870,31.0425,-86.3117,1104
2006-11-05,13457,63870,31.0425,-86.3117,1440
2006-11-06,13458,63870,31.0425,-86.3117,289
2006-11-07,13459,63870,31.0425,-86.3117,1440
2006-11-08,13460,63870,31.0425,-86.3117,1220
2006-11-09,13461,63870,31.0425,-86.3117,389
2006-11-10,13462,63870,31.0425,-86.3117,1427
2006-11-11,13463,63870,31.0425,-86.3117,1440
2006-11-12,13464,63870,31.0425,-86.3117,1440
2006-11-13,13465,63870,31.0425,-86.3117,1440
2006-11-14,13466,63870,31.0425,-86.3117,1236
2006-11-16,13468,63870,31.0425,-86.3117,625
2006-11-17,13469,63870,31.0425,-86.3117,1429
2006-11-18,13470,63870,31.0425,-86.3117,888
2006-11-19,13471,63870,31.0425,-86.3117,1440
2006-11-20,13472,63870,31.0425,-86.3117,1440
2006-11-21,13473,63870,31.0425,-86.3117,283
2006-11-22,13474,63870,31.0425,-86.3117,681
2006-11-23,13475,63870,31.0425,-86.3117,188
2006-11-24,13476,63870,31.0425,-86.3117,1440
2006-11-25,13477,63870,31.0425,-86.3117,497
2006-11-26,13478,63870,31.0425,-86.3117,1172
2006-11-27,13479,63870,31.0425,-86.3117,1440
2006-11-28,13480,63870,31.0425,-86.3117,1434
2006-11-29,13481,63870,31.0425,-86.3117,932
2006-11-30,13482,63870,31.0425,-86.3117,495
2006-10-31,13452,54779,41.0093,-74.7363,420
2006-11-01,13453,54779,41.0093,-74.7363,1322
2006-11-02,13454,54779,41.0093,-74.7363,1439
2006-11-03,13455,54779,41.0093,-74.7363,983
2006-11-04,13456,54779,41.0093,-74.7363,1295
2006-11-05,13457,54779,41.0093,-74.7363,1440
2006-11-06,13458,54779,41.0093,-74.7363,1440
2006-11-07,13459,54779,41.0093,-74.7363,1439
2006-11-08,13460,54779,41.0093,-74.7363,1440
2006-11-09,13461,54779,41.0093,-74.7363,1440
2006-11-10,13462,54779,41.0093,-74.7363,1440
2006-11-11,13463,54779,41.0093,-74.7363,1342
2006-11-12,13464,54779,41.0093,-74.7363,1395
2006-11-13,13465,54779,41.0093,-74.7363,1440
2006-11-14,13466,54779,41.0093,-74.7363,1440
2006-11-15,13467,54779,41.0093,-74.7363,1440
2006-11-16,13468,54779,41.0093,-74.7363,1439
