convective_date,convective_day_index,wban_id,lat,lon,good_row_count
2019-06-30,18077,63870,31.0425,-86.3117,223
2019-07-01,18078,63870,31.0425,-86.3117,966
2019-07-02,18079,63870,31.0425,-86.3117,1423
2019-07-03,18080,63870,31.0425,-86.3117,1426
2019-07-04,18081,63870,31.0425,-86.3117,823
2019-07-05,18082,63870,31.0425,-86.3117,645
2019-07-06,18083,63870,31.0425,-86.3117,975
2019-07-07,18084,63870,31.0425,-86.3117,368
2019-07-08,18085,63870,31.0425,-86.3117,764
2019-07-09,18086,63870,31.0425,-86.3117,1287
2019-07-10,18087,63870,31.0425,-86.3117,498
2019-07-11,18088,63870,31.0425,-86.3117,883
2019-07-12,18089,63870,31.0425,-86.3117,1261
2019-07-13,18090,63870,31.0425,-86.3117,641
2019-07-14,18091,63870,31.0425,-86.3117,979
2019-07-15,18092,63870,31.0425,-86.3117,836
2019-07-16,18093,63870,31.0425,-86.3117,963
2019-07-17,18094,63870,31.0425,-86.3117,1318
2019-07-18,18095,63870,31.0425,-86.3117,765
2019-07-19,18096,63870,31.0425,-86.3117,256
2019-07-20,18097,63870,31.0425,-86.3117,460
2019-07-22,18099,63870,31.0425,-86.3117,720
2019-07-24,18101,63870,31.0425,-86.3117,1263
2019-07-25,18102,63870,31.0425,-86.3117,1423
2019-07-26,18103,63870,31.0425,-86.3117,1413
2019-07-27,18104,63870,31.0425,-86.3117,818
2019-07-28,18105,63870,31.0425,-86.3117,1403
2019-07-29,18106,63870,31.0425,-86.3117,1164
2019-07-30,18107,63870,31.0425,-86.3117,1356
2019-07-31,18108,63870,31.0425,-86.3117,549
2019-06-30,18077,54779,41.0093,-74.7363,420
2019-07-01,18078,54779,41.0093,-74.7363,1428
2019-07-02,18079,54779,41.0093,-74.7363,1435
2019-07-03,18080,54779,41.0093,-74.7363,1435
2019-07-04,18081,54779,41.0093,-74.7363,1415
2019-07-05,18082,54779,41.0093,-74.7363,1297
2019-07-06,18083,54779,41.0093,-74.7363,969
2019-07-07,18084,54779,41.0093,-74.7363,1058
2019-07-08,18085,54779,41.0093,-74.7363,796
2019-07-09,18086,54779,41.0093,-74.7363,1283
2019-07-10,18087,54779,41.0093,-74.7363,1155
2019-07-11,18088,54779,41.0093,-74.7363,1440
2019-07-12,18089,54779,41.0093,-74.7363,1435
2019-07-13,18090,54779,41.0093,-74.7363,1408
