convective_date,convective_day_index,wban_id,lat,lon,good_row_count
2006-05-31,13299,54779,41.0093,-74.7363,420
2006-06-01,13300,54779,41.0093,-74.7363,1010
2006-06-02,13301,54779,41.0093,-74.7363,1440
2006-06-03,13302,54779,41.0093,-74.7363,1281
2006-06-04,13303,54779,41.0093,-74.7363,1440
2006-06-05,13304,54779,41.0093,-74.7363,1440
2006-06-06,13305,54779,41.0093,-74.7363,590
2006-06-07,13306,54779,41.0093,-74.7363,1440
2006-06-08,13307,54779,41.0093,-74.7363,1440
2006-06-09,13308,54779,41.0093,-74.7363,1438
2006-06-10,13309,54779,41.0093,-74.7363,1439
2006-06-11,13310,54779,41.0093,-74.7363,708
2006-06-12,13311,54779,41.0093,-74.7363,920
2006-06-13,13312,54779,41.0093,-74.7363,951
2006-06-14,13313,54779,41.0093,-74.7363,1177
2006-06-15,13314,54779,41.0093,-74.7363,720
2006-06-16,13315,54779,41.0093,-74.7363,356
2006-06-17,13316,54779,41.0093,-74.7363,972
2006-06-18,13317,54779,41.0093,-74.7363,720
2006-06-19,13318,54779,41.0093,-74.7363,797
2006-06-20,13319,54779,41.0093,-74.7363,1439
2006-06-21,13320,54779,41.0093,-74.7363,1440
2006-06-22,13321,54779,41.0093,-74.7363,844
2006-06-23,13322,54779,41.0093,-74.7363,74
2006-06-25,13324,54779,41.0093,-74.7363,1057
2006-06-26,13325,54779,41.0093,-74.7363,1376
2006-06-27,13326,54779,41.0093,-74.7363,1439
2006-06-28,13327,54779,41.0093,-74.7363,116
2006-06-29,13328,54779,41.0093,-74.7363,700
2006-06-30,13329,54779,41.0093,-74.7363,650
2006-05-31,13299,94037,45.6043,-103.547,300
2006-06-01,13300,94037,45.6043,-103.547,1011
2006-06-02,13301,94037,45.6043,-103.547,1439
2006-06-03,13302,94037,45.6043,-103.547,1440
2006-06-04,13303,94037,45.6043,-103.547,1439
2006-06-05,13304,94037,45.6043,-103.547,1383
2006-06-06,13305,94037,45.6043,-103.547,747
2006-06-07,13306,94037,45.6043,-103.547,1440
2006-06-08,13307,94037,45.6043,-103.547,1414
2006-06-09,13308,94037,45.6043,-103.547,1440
2006-06-10,13309,94037,45.6043,-103.547,1440
2006-06-11,13310,94037,45.6043,-103.547,1435
2006-06-12,13311,94037,45.6043,-103.547,1155
2006-06-13,13312,94037,45.6043,-103.547,1440
2006-06-14,13313,94037,45.6043,-103.547,1439
2006-06-15,13314,94037,45.6043,-103.547,977
2006-06-16,13315,94037,45.6043,-103.547,1422
2006-06-17,13316,94037,45.6043,-103.547,1440
2006-06-18,13317,94037,45.6043,-103.547,1418
2006-06-19,13318,94037,45.6043,-103.547,853
2006-06-20,13319,94037,45.6043,-103.547,1439
2006-06-21,13320,94037,45.6043,-103.547,1439
2006-06-22,13321,94037,45.6043,-103.547,1439
2006-06-23,13322,94037,45.6043,-103.547,31
2006-06-25,13324,94037,45.6043,-103.547,387
2006-06-26,13325,94037,45.6043,-103.547,1381
2006-06-27,13326,94037,45.6043,-103.547,1440
2006-06-28,13327,94037,45.6043,-103.547,804
2006-06-29,13328,94037,45.6043,-103.547,738
2006-06-30,13329,94037,45.6043,-103.547,625
2006-05-31,13299,53862,30.0719,-83.5736,420
2006-06-01,13300,53862,30.0719,-83.5736,1011
2006-06-02,13301,53862,30.0719,-83.5736,1440
2006-06-03,13302,53862,30.0719,-83.5736,1234
2006-06-04,13303,53862,30.0719,-83.5736,1440
2006-06-05,13304,53862,30.0719,-83.5736,1439
2006-06-06,13305,53862,30.0719,-83.5736,746
2006-06-07,13306,53862,30.0719,-83.5736,1440
2006-06-08,13307,53862,30.0719,-83.5736,1440
2006-06-09,13308,53862,30.0719,-83.5736,1440
2006-06-10,13309,53862,30.0719,-83.5736,1440
2006-06-11,13310,53862,30.0719,-83.5736,1440
2006-06-12,13311,53862,30.0719,-83.5736,1440
2006-06-13,13312,53862,30.0719,-83.5736,909
2006-06-14,13313,53862,30.0719,-83.5736,1342
2006-06-15,13314,53862,30.0719,-83.5736,978
2006-06-16,13315,53862,30.0719,-83.5736,1422
2006-06-17,13316,53862,30.0719,-83.5736,1440
2006-06-18,13317,53862,30.0719,-83.5736,696
2006-06-19,13318,53862,30.0719,-83.5736,1440
2006-06-20,13319,53862,30.0719,-83.5736,10
2006-06-22,13321,53862,30.0719,-83.5736,1267
2006-06-23,13322,53862,30.0719,-83.5736,29
2006-06-25,13324,53862,30.0719,-83.5736,1109
2006-06-26,13325,53862,30.0719,-83.5736,998
2006-06-27,13326,53862,30.0719,-83.5736,1291
2006-06-28,13327,53862,30.0719,-83.5736,803
2006-06-29,13328,53862,30.0719,-83.5736,740
2006-06-30,13329,53862,30.0719,-83.5736,624
2006-05-31,13299,03032,30.0482,-102.2127,5
2006-06-01,13300,03032,30.0482,-102.2127,645
2006-06-02,13301,03032,30.0482,-102.2127,1440
2006-06-03,13302,03032,30.0482,-102.2127,1438
2006-06-04,13303,03032,30.0482,-102.2127,1314
2006-06-05,13304,03032,30.0482,-102.2127,981
2006-06-06,13305,03032,30.0482,-102.2127,746
2006-06-07,13306,03032,30.0482,-102.2127,1439
2006-06-08,13307,03032,30.0482,-102.2127,1438
2006-06-09,13308,03032,30.0482,-102.2127,1440
2006-06-10,13309,03032,30.0482,-102.2127,1440
2006-06-11,13310,03032,30.0482,-102.2127,1320
2006-06-14,13313,03032,30.0482,-102.2127,1220
2006-06-15,13314,03032,30.0482,-102.2127,975
2006-06-16,13315,03032,30.0482,-102.2127,1421
2006-06-17,13316,03032,30.0482,-102.2127,1440
2006-06-18,13317,03032,30.0482,-102.2127,1419
2006-06-19,13318,03032,30.0482,-102.2127,1440
2006-06-20,13319,03032,30.0482,-102.2127,1440
2006-06-21,13320,03032,30.0482,-102.2127,1439
2006-06-22,13321,03032,30.0482,-102.2127,1440
2006-06-23,13322,03032,30.0482,-102.2127,26
2006-06-25,13324,03032,30.0482,-102.2127,1112
2006-06-26,13325,03032,30.0482,-102.2127,1379
2006-06-27,13326,03032,30.0482,-102.2127,1440
2006-06-28,13327,03032,30.0482,-102.2127,799
