time_str,time_seconds,wban_id,name,state,county,knots,gust_knots,lat,lon
2000-09-01 21:44:00 UTC,967844640,13963,LITTLE ROCK AP ADAMS FIELD,AR,PULASKI,30,41,34.7272,-92.2389
2000-09-04 04:31:00 UTC,968041860,14939,LINCOLN MUNICIPAL AP,NE,LANCASTER,29,40,40.8311,-96.7644
2000-09-04 04:32:00 UTC,968041920,14939,LINCOLN MUNICIPAL AP,NE,LANCASTER,35,42,40.8311,-96.7644
2000-09-04 04:35:00 UTC,968042100,14939,LINCOLN MUNICIPAL AP,NE,LANCASTER,35,45,40.8311,-96.7644
2000-09-04 04:36:00 UTC,968042160,14939,LINCOLN MUNICIPAL AP,NE,LANCASTER,38,40,40.8311,-96.7644
2000-09-05 01:09:00 UTC,968116140,26615,BETHEL AIRPORT,AK,BETHEL,31,41,60.7858,-161.8264
2000-09-05 22:59:00 UTC,968194740,24018,CHEYENNE MUNICIPAL AP,WY,LARAMIE,29,40,41.15,-104.8167
2000-09-05 23:10:00 UTC,968195400,24018,CHEYENNE MUNICIPAL AP,WY,LARAMIE,30,40,41.15,-104.8167
2000-09-05 23:11:00 UTC,968195460,24018,CHEYENNE MUNICIPAL AP,WY,LARAMIE,37,48,41.15,-104.8167
2000-09-05 23:12:00 UTC,968195520,24018,CHEYENNE MUNICIPAL AP,WY,LARAMIE,42,48,41.15,-104.8167
2000-09-05 23:13:00 UTC,968195580,24018,CHEYENNE MUNICIPAL AP,WY,LARAMIE,42,45,41.15,-104.8167
2000-09-05 23:14:00 UTC,968195640,24018,CHEYENNE MUNICIPAL AP,WY,LARAMIE,41,47,41.15,-104.8167
2000-09-05 23:15:00 UTC,968195700,24018,CHEYENNE MUNICIPAL AP,WY,LARAMIE,40,44,41.15,-104.8167
2000-09-05 23:16:00 UTC,968195760,24018,CHEYENNE MUNICIPAL AP,WY,LARAMIE,35,41,41.15,-104.8167
2000-09-05 23:17:00 UTC,968195820,24018,CHEYENNE MUNICIPAL AP,WY,LARAMIE,35,41,41.15,-104.8167
2000-09-05 23:18:00 UTC,968195880,24018,CHEYENNE MUNICIPAL AP,WY,LARAMIE,35,40,41.15,-104.8167
2000-09-06 12:14:00 UTC,968242440,25624,COLD BAY AP,AK,ALEUTIANS EAST BOROUGH,32,41,55.2067,-162.7217
